potěr,fry [fraɪ]
výbor,caucus [ˈkɔː.kəs]
dřevěné uhlí,charcoal [ˈtʃɑː.kəʊl]
sýrový,cheesy [ˈtʃiː.zi]
sloupkař,columnist [ˈkɒl.əm.nɪst]
pravomoc,competence [ˈkɒm.pɪ.təns]
soustrast,condolence [kənˈdəʊ.ləns]
nakažlivý,contagious [kənˈteɪ.dʒəs]
výhodně,conveniently [kənˈviː.ni.ənt.li]
soudní síň,courtroom [ˈkɔːt.ruːm]
polštář,cushion [ˈkʊʃ.ən]
diktovat,dictate [dɪkˈteɪt]
kolej,dorm [dɔːm]
odkapávat,drip [drɪp]
potrubí,duct [dʌkt]
výstřední,eccentric [ɪkˈsen.trɪk]
elektromagnetický,electromagnetic [ɪˌlek.trəʊ.mæɡˈnet.ɪk]
symbol,emblem [ˈem.bləm]
fašismus,fascism [ˈfæʃ.ɪ.zəm]
Strach,fearful [ˈfɪə.fəl]
slavnostní,festive [ˈfes.tɪv]
předák,foreman [ˈfɔː.mən]
nesprávný,improper [ɪmˈprɒp.ər]
příliv,influx [ˈɪn.flʌks]
splátka,installment [ɪnˈstɔːl.mənt]
jádro,kernel [ˈkɜː.nəl]
spojení,liaison [liˈeɪ.zɒn]
mozaika,mosaic [məʊˈzeɪ.ɪk]
mustang,mustang [ˈmʌs.tæŋ]
nuzný,needy [ˈniː.di]
sirotek,orphan [ˈɔː.fən]
Patty,patty [ˈpæt.i]
ananas,pineapple [ˈpaɪnˌæp.əl]
žalobce,plaintiff [ˈpleɪn.tɪf]
draslík,potassium [pəˈtæs.i.əm]
neocenitelný,priceless [ˈpraɪs.ləs]
prostitutka,prostitute [ˈprɒs.tɪ.tʃuːt]
pobřeží,seaside [ˈsiː.saɪd]
šampon,shampoo [ʃæmˈpuː]
tiše,silently [ˈsaɪ.lənt.li]
schodiště,staircase [ˈsteə.keɪs]
steroid,steroid [ˈste.rɔɪd]
výpad,swipe [swaɪp]
Tang,tang [tæŋ]
tolerantní,tolerant [ˈtɒl.ər.ənt]
toxicita,toxicity [tɒkˈsɪs.ɪ.ti]
trubka,trumpet [ˈtrʌm.pɪt]
tuberkulóza,tuberculosis [tʃuːˌbɜː.kjəˈləʊ.sɪs]
ochotně,willingly [ˈwɪl.ɪŋ.li]
mladistvý,youthful [ˈjuːθ.fəl]
přidržet,adhere [ədˈhɪər]
kladný,affirmative [əˈfɜː.mə.tɪv]
dvojznačný,ambiguous [æmˈbɪɡ.ju.əs]
archeologie,archaeology [ˌɑː.kiˈɒl.ə.dʒi]
pitva,autopsy [ˈɔː.tɒp.si]
Blitz,blitz [blɪts]
blokáda,blockade [blɒkˈeɪd]
jas,brightness [ˈbraɪt.nəs]
kazeta,cartridge [ˈkɑː.trɪdʒ]
pokladní,cashier [kæʃˈɪər]
doutník,cigar [sɪˈɡɑːr]
circa,circa [ˈsɜː.kə]
plášť,cloak [kləʊk]
spalování,combustion [kəmˈbʌs.tʃən]
chápání,comprehension [ˌkɒm.prɪˈhen.ʃən]
půlměsíc,crescent [ˈkres.ənt]
vadný,defective [dɪˈfek.tɪv]
deportace,deportation [ˌdiː.pɔːˈteɪ.ʃən]
odradit,discourage [dɪˈskʌr.ɪdʒ]
jednorázové,disposable [dɪˈspəʊ.zə.bəl]
zoufalý,distressed [dɪˈstrest]
žalář,dungeon [ˈdʌn.dʒən]
podnikání,entrepreneurship [ˌɒn.trə.prəˈnɜː.ʃɪp]
ohnivý,fiery [ˈfaɪə.ri]
finalista,finalist [ˈfaɪ.nəl.ɪst]
Flux,flux [flʌks]
Goofy,goofy [ˈɡuː.fi]
rukopis,handwriting [ˈhændˌraɪ.tɪŋ]
hádka,hassle [ˈhæs.əl]
sekýrovat,hector [ˈhek.tər]
balík,hick [hɪk]
prase,hog [hɒɡ]
Majitel domu,homeowner [ˈhəʊmˌəʊ.nər]
nesmírně,immensely [ɪˈmens.li]
indikativní,indicative [ɪnˈdɪk.ə.tɪv]
levný,inexpensive [ˌɪn.ɪkˈspen.sɪv]
zachycení,intercept [ˌɪn.təˈsept]
intuitivní,intuitive [ɪnˈtʃuː.ɪ.tɪv]
žokej,jockey [ˈdʒɒk.i]
rozjařený,jolly [ˈdʒɒl.i]
zeměpisná šířka,latitude [ˈlæt.ɪ.tʃuːd]
Libertarián,libertarian [ˌlɪb.əˈteə.ri.ən]
majestátní,majestic [məˈdʒes.tɪk]
mistrovství,mastery [ˈmɑː.stər.i]
metropole,metropolis [məˈtrɒp.əl.ɪs]
mumie,mummy [ˈmʌm.i]
ovocný sad,orchard [ˈɔː.tʃəd]
předávkovat,overdose [ˈəʊ.və.dəʊs]
patologie,pathology [pəˈθɒl.ə.dʒi]
jedovatý,poisonous [ˈpɔɪ.zən.əs]
průvod,procession [prəˈseʃ.ən]
očistit,purge [pɜːdʒ]
přemístění,relocation [ˌriː.ləʊˈkeɪ.ʃən]
Rhino,rhino [ˈraɪ.nəʊ]
Rosemary,rosemary [ˈrəʊz.mər.i]
pískovec,sandstone [ˈsænd.stəʊn]
kanalizace,sanitation [ˌsæn.ɪˈteɪ.ʃən]
vyhovující,satisfactory [ˌsæt.ɪsˈfæk.tər.i]
skútr,scooter [ˈskuː.tər]
tajemství,secrecy [ˈsiː.krə.si]
hanebný,shameful [ˈʃeɪm.fəl]
zlatíčko,sweetie [ˈswiː.ti]
transformátor,transformer [trænsˈfɔː.mər]
neoprávněný,unauthorized [ʌnˈɔː.θə.raɪzd]
Undo,undo [ʌnˈduː]
nejmenované,unnamed [ʌnˈneɪmd]
znepokojující,upsetting [ʌpˈset.ɪŋ]
jed,venom [ˈvenəm]
vítězný,victorious [vɪkˈtɔː.ri.əs]
opatrný,wary [ˈweə.ri]
zalévání,watering [ˈwɔː.tər]
wellness,wellness [ˈwel.nəs]
větrný,windy [ˈwɪn.di]
Winger,winger [ˈwɪŋ.ər]
mladík,youngster [ˈjʌŋ.stər]
břicho,abdomen [ˈæb.də.mən]
unést,abduct [æbˈdʌkt]
náhle,abruptly [əˈbrʌpt.li]
aha,aha [ɑːˈhɑː]
uprostřed,amidst [əˈmɪd]
akvárium,aquarium [əˈkweə.ri.əm]
Aspire,aspire [əˈspaɪər]
asteroid,asteroid [ˈæs.tər.ɔɪd]
těsto,batter [ˈbæt.ər]
před spaním,bedtime [ˈbed.taɪm]
zrudnout,blush [blʌʃ]
posilovač,booster [ˈbuː.stər]
drdol,bun [bʌn]
kalkulačka,calculator [ˈkæl.kjə.leɪ.tər]
klidně,calmly [ˈkɑːm.li]
zajetí,captivity [kæpˈtɪv.ə.ti]
katastrofa,catastrophe [kəˈtæs.trə.fi]
chemoterapie,chemotherapy [ˌkiː.məʊˈθer.ə.pi]
obíhat,circulate [ˈsɜː.kjə.leɪt]
čištění,cleansing [ˈklen.zɪŋ]
dojíždět,commute [kəˈmjuːt]
komplementární,complementary [ˌkɒm.plɪˈmen.tər.i]
otřes mozku,concussion [kənˈkʌʃ.ən]
připojení,connectivity [ˌkɒn.ekˈtɪv.ə.ti]
konzulát,consulate [ˈkɒn.sjə.lət]
touha,craving [ˈkreɪ.vɪŋ]
kulinářský,culinary [ˈkʌl.ɪ.nər.i]
rámus,din [dɪn]
diskrétní,discrete [dɪˈskriːt]
maskované,disguised [dɪsˈɡaɪzd]
nesouhlasit,dissent [dɪˈsent]
přední,eminent [ˈem.ɪ.nənt]
šifrování,encryption [ɪnˈkrip.ʃən]
usilovat,endeavor [enˈdev.ər]
nadšenec,enthusiast [ɪnˈθjuː.zi.æst]
filtrování,filtering [ˈfɪl.tər]
Flop,flop [flɒp]
bratrství,fraternity [frəˈtɜː.nə.ti]
srstnatý,furry [ˈfɜː.ri]
lesk,glitter [ˈɡlɪt.ər]
hřbitov,graveyard [ˈɡreɪv.jɑːd]
strádání,hardship [ˈhɑːd.ʃɪp]
slepice,hen [hen]
vyvolat,induce [ɪnˈdjuːs]
nejistota,insecurity [ˌɪn.sɪˈkjʊə.rə.ti]
výslech,interrogation [ɪnˌter.əˈɡeɪ.ʃən]
zastrašit,intimidate [ɪnˈtɪm.ɪ.deɪt]
iracionální,irrational [ɪˈræʃ.ən.əl]
hlávkový salát,lettuce [ˈlet.ɪs]
lukrativní,lucrative [ˈluː.krə.tɪv]
Manažer,managerial [ˌmæn.əˈdʒɪə.ri.əl]
mango,mango [ˈmæŋ.ɡəʊ]
Milo,milo [ˈmaɪ.ləʊ]
Mister,mister [ˈmɪs.tər]
mírně,moderately [ˈmɒd.ər.ət.li]
podivně,oddly [ˈɒd.li]
utlačovat,oppress [əˈpres]
Outsider,outsider [ˌaʊtˈsaɪ.dər]
pohanský,pagan [ˈpeɪ.ɡən]
planetární,planetary [ˈplæn.ɪ.tər.i]
playboy,playboy [ˈpleɪ.bɔɪ]
porcelán,porcelain [ˈpɔː.səl.ɪn]
programátor,programmer [ˈprəʊ.ɡræm.ər]
Promotor,promoter [prəˈməʊ.tər]
žalm,psalm [sɑːm]
psychiatrie,psychiatry [saɪˈkaɪə.tri]
podle,pursuant [pəˈsjuː.ənt]
recyklovat,recycle [ˌriːˈsaɪ.kəl]
renovovat,renovate [ˈren.ə.veɪt]
opakující se,repetitive [rɪˈpet.ə.tɪv]
obrácení,reversal [rɪˈvɜː.səl]
rým,rhyme [raɪm]
litovat,rue [ruː]
důvtipný,savvy [ˈsæv.i]
skener,scanner [ˈskæn.ər]
schizofrenie,schizophrenia [ˌskɪt.səˈfriː.ni.ə]
vážnost,seriousness [ˈsɪə.ri.əs.nəs]
jiskra,sparkle [ˈspɑː.kəl]
SPREE,spree [spriː]
zúčastněná strana,stakeholder [ˈsteɪkˌhəʊl.dər]
dotace,subsidy [ˈsʌb.sɪ.di]
sup,sup [sʌp]
povrchní,superficial [ˌsuː.pəˈfɪʃ.əl]
zpocený,sweaty [ˈswet.i]
krotký,tame [teɪm]
koželuh,tanner [ˈtæn.ər]
Thug,thug [θʌɡ]
poleva,topping [ˈtɒp.ɪŋ]
proti proudu,upstream [ˌʌpˈstriːm]
pára,vapor [ˈveɪ.pɚ]
servírka,waitress [ˈweɪ.trəs]
vlašský ořech,walnut [ˈwɔːl.nʌt]
nábřeží,waterfront [ˈwɔː.tə.frʌnt]
vtipný,witty [ˈwɪt.i]
vazba,weave [wiːv]
známost,acquaintance [əˈkweɪn.təns]
přepadení,ambush [ˈæm.bʊʃ]
arogance,arrogance [ˈær.ə.ɡəns]
křest,baptism [ˈbæp.tɪ.zəm]
bloke,bloke [bləʊk]
rozmazat,blur [blɜːr]
střevo,bowel [ˈbaʊ.əl]
obočí,brow [braʊ]
byrokracie,bureaucracy [bjʊəˈrɒk.rə.si]
zajistit,cater [ˈkeɪ.tər]
komín,chimney [ˈtʃɪm.ni]
zataženo,cloudy [ˈklaʊ.di]
soucitný,compassionate [kəmˈpæʃ.ən.ət]
konvertibilní,convertible [kənˈvɜː.tə.bəl]
kráter,crater [ˈkreɪ.tər]
kumulativní,cumulative [ˈkjuː.mjə.lə.tɪv]
kurátor,curator [kjʊəˈreɪ.tər]
božstvo,deity [ˈdeɪ.ɪ.ti]
zoufalství,desperation [ˌdes.pəˈreɪ.ʃən]
škodlivý,detrimental [ˌdet.rɪˈmen.təl]
průjem,diarrhea [ˌdaɪ.əˈriː.ə]
zlikvidovat,dispose [dɪˈspəʊz]
zkreslení,distortion [dɪˈstɔː.ʃən]
doktorský,doctoral [ˈdɒk.tər.əl]
nárok,entitlement [ɪnˈtaɪ.təl.mənt]
nebojácný,fearless [ˈfɪə.ləs]
pěnkava,finch [fɪntʃ]
gangster,gangster [ˈɡæŋ.stər]
Garner,garner [ˈɡɑː.nər]
Prozradí,giveaway [ˈɡɪv.əˌweɪ]
Cikán,gypsy [ˈdʒɪp.si]
obtěžovat,harass [ˈhær.əs]
ohřívač,heater [ˈhiː.tər]
váhání,hesitation [ˌhez.ɪˈteɪ.ʃən]
ponížení,humiliation [hjuːˌmɪl.iˈeɪ.ʃən]
Poškození,impairment [ɪmˈpeə.mənt]
netrpělivý,impatient [ɪmˈpeɪ.ʃənt]
složitý,intricate [ˈɪn.trɪ.kət]
karate,karate [kəˈrɑː.ti]
papírový drak,kite [kaɪt]
maják,lighthouse [ˈlaɪt.haʊs]
dlouhověkost,longevity [lɒnˈdʒev.ə.ti]
Lore,lore [lɔːr]
bujný,lush [lʌʃ]
Luxusní,luxurious [lʌɡˈʒʊə.ri.əs]
mal,mal [mæl-]
kaše,mash [mæʃ]
meteor,meteor [ˈmiː.ti.ɔːr]
ministerský,ministerial [ˌmɪn.ɪˈstɪə.ri.əl]
mystický,mystical [ˈmɪs.tɪ.kəl]
Nu,nu [njuː]
obstrukce,obstruction [əbˈstrʌk.ʃən]
se,oneself [ˌwʌnˈself]
proniknout,penetrate [ˈpen.ɪ.treɪt]
plánovač,planner [ˈplæn.ər]
švestka,plum [plʌm]
množný,plural [ˈplʊə.rəl]
Puff,puff [pʌf]
slovní hříčka,pun [pʌn]
hadr,rag [ræɡ]
Raj,raj [rɑːdʒ]
Rampant,rampant [ˈræm.pənt]
replikujte,replicate [ˈrep.lɪ.keɪt]
odplata,retaliation [rɪˌtæl.iˈeɪ.ʃən]
Ochrana,safeguard [ˈseɪf.ɡɑːd]
sedan,sedan [sɪˈdæn]
Odpadní voda,sewage [ˈsuː.ɪdʒ]
zákazník,shopper [ˈʃɒp.ər]
slang,slang [slæŋ]
spoiler,spoiler [ˈspɔɪ.lər]
kufr,suitcase [ˈsuːt.keɪs]
hospoda,tavern [ˈtæv.ən]
škádlení,teasing [tiːz]
telegram,telegram [ˈtel.ɪ.ɡræm]
titan,titanium [tɪˈteɪ.ni.əm]
turbulence,turbulence [ˈtɜː.bjə.ləns]
nerovný,uneven [ʌnˈiː.vən]
naléhavost,urgency [ˈɜː.dʒən.si]
výrobky,ware [weər]
vodotěsný,waterproof [ˈwɔː.tə.pruːf]
kňučet,whine [waɪn]
báječně,wonderfully [ˈwʌn.də.fəl.i]
formulace,wording [ˈwɜː.dɪŋ]
akreditace,accreditation [əˌkred.ɪˈteɪ.ʃən]
nesporně,admittedly [ədˈmɪt.ɪd.li]
řasy,algae [ˈæl.ɡiː]
změna,alteration [ˌɒl.təˈreɪ.ʃən]
Apache,apache [əˈpætʃ.i]
artikulovat,articulate [ɑːˈtɪk.jə.lət]
azbest,asbestos [æsˈbes.tɒs]
vyhýbání se,avoidance [əˈvɔɪ.dəns]
ložisko,bearing [ˈbeə.rɪŋ]
sládek,brewer [ˈbruː.ər]
bufet,buffet [ˈbʊf.eɪ]
hořák,burner [ˈbɜː.nər]
chytač,catcher [ˈkætʃ.ər]
podvozek,chassis [ˈʃæs.i]
fuška,chore [tʃɔːr]
tleskat,clap [klæp]
vyjasnění,clarification [ˌklær.ɪ.fɪˈkeɪ.ʃən]
útěcha,consolation [ˌkɒn.səˈleɪ.ʃən]
dýka,dagger [ˈdæɡ.ər]
jednání,dealing [ˈdiː.lɪŋ]
odložit,defer [dɪˈfɜːr]
popisný,descriptive [dɪˈskrɪp.tɪv]
dialekt,dialect [ˈdaɪ.ə.lekt]
Dolly,dolly [ˈdɒl.i]
pád,downfall [ˈdaʊn.fɔːl]
nevýhodou,downside [ˈdaʊn.saɪd]
Dunk,dunk [dʌŋk]
zmocnění,empowerment [ɪmˈpaʊə.mənt]
vyplývat,ensue [ɪnˈsjuː]
vyprší,expire [ɪkˈspaɪər]
krb,fireplace [ˈfaɪə.pleɪs]
Flair,flair [fleər]
uprchlík,fugitive [ˈfjuː.dʒə.tɪv]
líska,hazel [ˈheɪ.zəl]
sluchátka,headset [ˈhed.set]
překážka,hurdle [ˈhɜː.dəl]
ledový,icy [ˈaɪ.si]
Dopřejte si,indulge [ɪnˈdʌldʒ]
nápis,inscription [ɪnˈskrɪp.ʃən]
tlumočník,interpreter [ɪnˈtɜː.prə.tər]
intuice,intuition [ˌɪn.tʃuːˈɪʃ.ən]
neocenitelný,invaluable [ɪnˈvæl.jə.bəl]
konvice,kettle [ˈket.əl]
laxní,lax [læks]
aby,lest [lest]
hrozba,menace [ˈmen.ɪs]
metan,methane [ˈmiː.θeɪn]
zneužít,misuse [ˌmɪsˈjuːz]
zmírnit,mitigate [ˈmɪt.ɪ.ɡeɪt]
nevolnost,nausea [ˈnɔː.si.ə]
neurologický,neurological [ˌnjʊə.rəˈlɒdʒ.ɪ.kəl]
optimální,optimum [ˈɒp.tɪ.məm]
ohromně,overwhelmingly [ˌəʊ.vəˈwel.mɪŋ.li]
ústřice,oyster [ˈɔɪ.stər]
pastorální,pastoral [ˈpɑː.stər.əl]
hrášek,pea [piː]
fyziologický,physiological [ˌfɪz.i.əˈlɒdʒ.ɪ.kəl]
drůbež,poultry [ˈpəʊl.tri]
výtečnost,prominence [ˈprɒm.ɪ.nəns]
kvartet,quartet [kwɔːˈtet]
radikálně,radically [ˈræd.ɪ.kəl.i]
reaktivní,reactive [riˈæk.tɪv]
přejmenovat,rename [ˌriːˈneɪm]
restriktivní,restrictive [rɪˈstrɪk.tɪv]
scénář,screenplay [ˈskriːn.pleɪ]
sekta,sect [sekt]
seismické,seismic [ˈsaɪz.mɪk]
seminář,seminary [ˈsem.ɪ.nər.i]
bokem,sideways [ˈsaɪd.weɪz]
kapitán,skipper [ˈskɪp.ər]
pašování,smuggling [ˈsmʌɡ.lɪŋ]
skrýš,stash [stæʃ]
procházka,stroll [strəʊl]
transkripce,transcription [trænˈskrɪp.ʃən]
jednorožec,unicorn [ˈjuː.nɪ.kɔːn]
jedinečně,uniquely [juːˈniːk.li]
nerealistické,unrealistic [ˌʌn.rɪəˈlɪs.tɪk]
váza,vase [vɑːz]
DPH,vat [væt]
vinice,vineyard [ˈvɪn.jɑːd]
Viola,viola [viˈəʊ.lə]
vodopád,waterfall [ˈwɔː.tə.fɔːl]
tkaní,weaving [ˈwiː.vɪŋ]
svařování,welding [ˈwel.dɪŋ]
báječný,yummy [ˈjʌm.i]
Adobe,adobe [əˈdəʊ.bi]
mandle,almond [ˈɑː.mənd]
vybavení,amenity [əˈmiː.nə.ti]
bavit,amuse [əˈmjuːz]
Antarktida,antarctica [ænˈtɑːk.tɪ.kə]
asfalt,asphalt [ˈæs.fɔːlt]
páteř,backbone [ˈbæk.bəʊn]
brouk,beetle [ˈbiː.təl]
blizard,blizzard [ˈblɪz.əd]
Bolívie,bolivia [bəˈlɪv.i.ə]
brožur,booklet [ˈbʊk.lət]
hádka,brawl [brɔːl]
